t,x1,x2,x3,u1,u2,sequence
0.035,-0.0301065613446075,0.0276900204910446,0.0944989024784257,-6.41075635048353e-05,-0.00200432055120763,0
0.036,-0.027851787045155,-0.0292233963370155,0.0938578167766328,-0,-0,0
0.037,-0.0252056042280761,-0.059963830679284,0.0691968212078562,-0,-0,0
0.038,-0.0228109472461665,-0.0755429113099577,0.0318479765243062,-0,-0,0
0.039,-0.0206411505280725,-0.0738722368081284,-0.00926174699792849,-0,-0,1
0.04,-0.018674805250371,-0.0566848409328499,-0.0451223251794665,0.00501628305333201,0.00413800072368322,0
0.041,0.0308401665075779,0.00299752497029883,-0.059666239713176,0,0,0
0.042,0.0279043943458045,0.0254149189536241,-0.0517615105392113,0,0,0
0.043,0.0252472949474463,0.0406550907541041,-0.0335219616278878,0,0,0
0.044,0.0228436161105182,0.0460630091751199,-0.00963839714977369,0,0,1
0.045,0.0206698889736417,0.0412791179745457,0.0143776604058877,-0.00401295846308177,-0.00313404816271434,0
0.046,-0.0194849300104369,0.00400293980483403,0.0266947178382001,-0,-0,0
0.047,-0.0176307448637501,-0.00701112500806935,0.025824518238564,-0,-0,0
0.048,-0.0159532597763746,-0.0156592308911066,0.0195527895409057,-0,-0,0
0.049,-0.0144354112865513,-0.0202983669935446,0.00964011683718982,-0,-0,1
0.05,-0.0130617938996199,-0.0202662129407032,-0.00152231365206325,0.00214539443137165,0.0015433089383687,0
0.051,0.00859739528133618,-0.00406088297854237,-0.00815422533908368,0,0,0
0.052,0.00777926587390804,-0.000172965610029261,-0.00930431547484276,0,0,0
0.053,0.00703895346852619,0.00344073111294726,-0.00839118498710731,0,0,0
0.054,0.00636906921702681,0.00603651638954456,-0.00577326231819621,0,0,1
0.055,0.00576294194178933,0.00714582390938544,-0.00214150323628706,-0.000819884874013741,-0.000556379600821726,0
0.056,-0.00258771512180954,0.00236885564017722,0.000458336414966313,-0,-0,0
0.057,-0.00234145899891401,0.00175558965306614,0.00159093458666617,-0,-0,0
0.058,-0.00211863682659235,0.000819414259735273,0.00229591613218912,-0,-0,0
0.059,-0.00191702108392887,-0.000215512052540381,0.00245811229712782,-0,-0,1
0.06,-0.00173459421078801,-0.00112203167913893,0.00208655843253723,0.000176388861356705,9.24453538969642e-05,0
