t,x1,x2,x3,u1,u2,sequence
0.035,-0.0278654714118608,0.0315501528150732,0.0945602283655083,-0.000448850392416597,-0.00226631259213718,0
0.036,-0.029485008837657,-0.0281158042901926,0.0952755510746121,-0,-0,0
0.037,-0.0266834198272632,-0.0596061127390777,0.0710148807265707,-0,-0,0
0.038,-0.0241482755192201,-0.0759509357003181,0.0336492253830271,-0,-0,0
0.039,-0.0218513648223233,-0.0748983763018883,-0.00785755155712082,-0,-0,1
0.04,-0.0197698960654529,-0.058062311536896,-0.0443809245686245,0.0051845211571302,0.00423651109004632,0
0.041,0.0314503314757705,0.00234709660469264,-0.0594800789398268,0,0,0
0.042,0.0284565351330391,0.0248127936166751,-0.0519198372947581,0,0,0
0.043,0.025746906458112,0.0402249730131472,-0.0339636776956743,0,0,0
0.044,0.0232956643621623,0.0458822669262754,-0.0102472511049101,0,0,1
0.045,0.0210788875164778,0.0413660979248924,0.0137440323615786,-0.00405241821265909,-0.00313508522980122,0
0.046,-0.0194903721625854,0.00430981206232427,0.0261703156250759,-0,-0,0
0.047,-0.0176356568353972,-0.00655897610145741,0.0255095430529605,-0,-0,0
0.048,-0.0159576895424922,-0.0151692115965287,0.0194972261314873,-0,-0,0
0.049,-0.0144394132965463,-0.0198773195853213,0.009834995171335,-0,-0,1
0.05,-0.0130654202409253,-0.0199978253210626,-0.00113830449434586,0.00213065652433654,0.00152317615751584,0
0.051,0.00845385817840008,-0.00414481835791078,-0.00772081506522902,0,0,0
0.052,0.00764938877587062,-0.000408270071175877,-0.00895933576481247,0,0,0
0.053,0.00692143914206866,0.00311601356998199,-0.00820065508981135,0,0,0
0.054,0.00626274108867428,0.00569833153954785,-0.00576520017698806,0,0,1
0.055,0.0056667331058603,0.00686689837627734,-0.00230302788901609,-0.00079936885236903,-0.000540147879882801,0
0.056,-0.00247953365222013,0.00232851517185434,0.000209875437027489,-0,-0,0
0.057,-0.00224357293121126,0.0018183341112529,0.00134903557803587,-0,-0,0
0.058,-0.00203006595339151,0.000963708239597568,0.00211130365189783,-0,-0,0
