t,x1,x2,x3,u1,sequence
0.42,2.16202415223956,0.392583036479682,-1.91773251922258,-4.69640299073698e-05,1
0.425,2.16603208406794,1.2102640117574,-1.89168674552384,4.34142154181346e-05,0
0.43,2.17412580884466,2.02657293159937,-1.86224655998426,0.000137263086806493,1
0.435,2.18629372684157,2.83960647565537,-1.82884275139884,0.000241722078493207,0
0.44,2.20251493562325,3.6475424808417,-1.79067397552153,0.000364771474830873,0
0.445,2.22275963719563,4.44864106978481,-1.74668472529516,0.00051577741872236,1
0.45,2.24698960143656,5.24126614819151,-1.69552135163609,0.000706041839450793,0
0.455,2.27515879537871,6.02393035405908,-1.63546531611561,0.000949326868905638,1
0.46,2.30721430298869,6.79536636010496,-1.56434369699598,0.00126229618025007,1
0.465,2.3430976711331,7.55462597430366,-1.47941895751015,0.00166478191559702,1
0.47,2.38274681641076,8.30120508445255,-1.37726352943716,0.00217974962121425,1
0.475,2.42609860300017,9.03518646020248,-1.25363019357628,0.00283280138902578,0
0.48,2.47309213916307,9.75738327123897,-1.1033366787466,0.00365103726485821,1
0.485,2.52367272395435,10.4694539703122,-0.920192143338282,0.00466109423729333,0
0.49,2.57779619311473,11.173944980154,-0.697003591378583,0.00588620441608699,0
0.495,2.63543315981413,11.8742038568303,-0.425710644224936,0.00734215833710962,1
0.5,2.69657233385167,12.5740963289609,-0.097705711707689,0.00903212517558994,0
0.505,2.76122176842249,13.2774614387864,0.2955990534998,0.0109403841321723,1
0.51,2.82940659467766,13.9872568005592,0.761900682969233,0.0130252147778061,1
0.515,2.90116166626646,14.7043883433725,1.30679245654208,0.0152115903597241,0
0.52,2.9765176925348,15.4262929984656,1.93221832327922,0.017385064884468,1
0.525,3.05548006190068,16.1454521441647,2.63469423374898,0.0193894165184443,0
0.53,3.13800080690017,16.848150389347,3.40354262068243,0.0210319714827627,1
0.535,-3.05923921223623,17.5139261019975,4.21958045976487,0.0221012361959094,0
0.54,-2.97012127426988,18.1162173141532,5.05488344267115,0.0223999633843742,0
0.545,-2.87822551048704,18.6245877044138,5.87428877599172,0.0217915007434456,1
0.55,-2.78409928684133,19.0085373278255,6.63902865637411,0.0202484424806245,0
0.555,-2.68843053142981,19.2422895481177,7.31222020582757,0.017884289417861,1
0.56,-2.59201249868126,19.3093271311195,7.86504271848602,0.0149483798830796,0
0.565,-2.49569032368577,19.2052129496571,8.28177851946455,0.0117769316403901,0
0.57,-2.40030051200967,18.9376741027549,8.56200295613421,0.00871435374171729,1
0.575,-2.30661692943902,18.5239554822838,8.71920766575181,0.00603529996153798,0
0.58,-2.21531413312227,17.9865165941994,8.77653106730364,0.00389697846046206,1
0.585,-2.12695236236804,17.3486347825466,8.76125448115,0.00233391924576346,0
0.59,-2.04198151678415,16.6311792134114,8.69982229951513,0.00128677079797005,0
0.595,-1.96075707889081,15.8510501543787,8.61450108848532,0.000645573743599678,1
0.6,-1.88356026084422,15.0210530227591,8.5219264850734,0.00028937200878783,0
0.605,-1.81061668282423,14.1506165005839,8.43315457394856,0.000112447566036129,1
0.61,-1.74211080917456,13.2467732713524,8.35459200650229,3.59394258009056e-05,0
0.615,-1.67819576516283,12.3150263694932,8.28923673325305,8.53110634500112e-06,0
0.62,-1.61899948395881,11.3599493661977,8.23785175907727,1.18580653106931e-06,1
0.625,-1.56462850815497,10.3855236282288,8.19989022204899,4.27800786356299e-08,0
0.63,-1.51517057855816,9.3952863695423,8.1741322957278,1.00778828158203e-11,1
0.635,-1.4706967487076,8.39237315603739,8.1590733853242,5.79170399367478e-08,0
0.64,-1.4312633931947,7.37951886828059,8.15313241077996,5.21105351369999e-07,0
0.645,-1.39691422280006,6.35905478831015,8.15474779185159,1.66440794080217e-06,1
0.65,-1.36768228381575,5.33291826001913,8.16241348936209,3.33683561604653e-06,0
0.655,-1.34359186875303,4.30267855848188,8.1746891564706,5.04493748618747e-06,1
0.66,-1.32466026199432,3.2695768827972,8.1902029621024,6.19892269769908e-06,0
0.665,-1.31089925807121,2.23457701026402,8.20765497428769,6.34375368101666e-06,0
0.67,-1.30231640641863,1.19842368296812,8.22582288929027,5.3002085944898e-06,1
0.675,-1.29891594891865,0.16170671406961,8.24356916512234,3.2029366192188e-06,0
0.68,-1.3006994251378,-0.875070591297658,8.25984794444567,4.52576371954621e-07,1
0.685,-1.30766592684565,-1.91141996517336,8.2737104866301,-2.39077735254777e-06,0
0.690000000000001,-1.3198119903159,-2.94679515859407,8.28430850639037,-4.74466390343335e-06,0
0.695000000000001,-1.33713112357016,-3.98051933858064,8.29089550257516,-6.14537267116693e-06,1
0.700000000000001,-1.35961297687626,-5.01171539555565,8.29282674943875,-6.36688850871413e-06,0
0.705000000000001,-1.38724217848718,-6.03924212593508,8.2895591303236,-5.49008863444766e-06,1
0.710000000000001,-1.41999687311753,-7.0616395101415,8.28065246194851,-3.89408751585043e-06,0
0.715000000000001,-1.45784701646082,-8.07708615786898,8.26577436065681,-2.14789496564732e-06,0
0.720000000000001,-1.50075249259756,-9.08337122639384,8.24471084605242,-8.03089667492775e-07,1
0.725000000000001,-1.54866112898999,-10.0778816003007,8.2173842920359,-1.39002435135688e-07,0
0.730000000000001,-1.60150668257067,-11.0576030420359,8.18387818403393,-1.60191413713198e-09,1
0.735000000000001,-1.65920685959005,-12.0191323008562,8.14446322099819,-6.77800897396239e-09,0
0.740000000000001,-1.72166141832657,-12.958697930177,8.09961025354489,-5.25568122150312e-07,0
0.745000000000001,-1.78875040865006,-13.8721943883369,8.04996145798785,-4.97122936903031e-06,1
0.750000000000001,-1.86033266698258,-14.7552512841095,7.99621267297791,-2.38551276310134e-05,0
0.755000000000001,-1.93624486907199,-15.6033901928195,7.93884091739746,-8.0723814651436e-05,1
0.760000000000001,-2.01630180459346,-16.4123616731279,7.87760089079996,-0.000219308854373114,0
0.765000000000001,-2.10029908531099,-17.1787881170466,7.81072801073152,-0.000510025657055947,0
0.770000000000001,-2.18802011179,-17.9012287575679,7.73384259268269,-0.00105264492388052,1
0.775000000000001,-2.27924947065106,-18.5816824907233,7.63866545882075,-0.00197120135364622,1
0.780000000000001,-2.37379445724305,-19.2273126559993,7.5118255456566,-0.00339789062347454,1
0.785000000000001,-2.47151448963469,-19.8518308889817,7.33422391878686,-0.00544538878497421,0
0.790000000000001,-2.5723544907322,-20.4756312893621,7.08153396283932,-0.00817109583425144,0
0.795000000000001,-2.67637338955932,-21.1236378113059,6.7263719671003,-0.0115401640023072,1
0.800000000000001,-2.78375437113699,-21.8201397354726,6.24242583870114,-0.0153945391136536,1
0.805000000000001,-2.89478182747463,-22.5807241751798,5.61043198007772,-0.0194330499937237,1
0.810000000000001,-3.00977350379752,-23.4026464589703,4.82540935375563,-0.0232077826349951,0
0.815000000000001,-3.12896657427749,-24.2563639717395,3.9039267016851,-0.0261504021848477,0
0.820000000000001,3.03081196567509,-25.0821550190109,2.88920449687854,-0.0276551409614801,1
0.825000000000001,2.90354221632554,-25.7959887073798,1.85071358400239,-0.0272409717666064,0
0.830000000000001,2.77320268615121,-26.306659017434,0.874866977195344,-0.02476572026934,1
0.835000000000001,2.64100138324942,-26.5406624843556,0.0463475934507108,-0.0205809315091268,0
0.840000000000001,2.50841345749091,-26.464648042376,-0.57434766714076,-0.0154858736090086,0
0.845000000000001,2.37695703482378,-26.093639204422,-0.966742659106903,-0.0104496455073597,1
0.850000000000001,2.24797617112208,-25.4806866349299,-1.15136340037927,-0.00625328838393783,0
0.855000000000001,2.12250599125338,-24.6950858653659,-1.17648049850618,-0.0032663177252159,1
0.860000000000001,2.0012448652644,-23.8016521035203,-1.09909731277181,-0.00145073420082128,0
0.865000000000001,1.88460645877907,-22.849395586556,-0.969439505939537,-0.000522525011724271,0
0.870000000000001,1.7728029571269,-21.8701231745378,-0.823373901613908,-0.000138830101941354,1
0.875000000000001,1.66592065686519,-20.8826733865546,-0.681990737327503,-2.17710485559962e-05,0
0.880000000000001,1.56397141359152,-19.8982225561577,-0.555144407446966,-9.5231086466123e-07,1
0.885000000000001,1.46692102205074,-18.9241740464657,-0.445913184986261,-2.19312790888771e-11,0
0.890000000000001,1.37470286782022,-17.9661739947649,-0.354209533717536,-1.00189406374545e-06,0
0.895000000000001,1.2872248247377,-17.0288238058626,-0.278986559867283,-1.06371234807255e-05,1
0.900000000000001,1.20437408794816,-16.1158158704219,-0.219216086628324,-3.82736240512543e-05,0
0.905000000000001,1.12602161296102,-15.2299688649383,-0.17408535675721,-8.65807525307563e-05,1
0.910000000000001,1.05202619486803,-14.3733420436671,-0.142843406009251,-0.000150686222504539,0
0.915000000000001,0.982237797473633,-13.5474220498052,-0.124589735752795,-0.000221277541000904,0
0.920000000000001,0.916499937092642,-12.7533135385843,-0.118147374529122,-0.000288327732138474,1
0.925000000000001,0.854651241122221,-11.991877872476,-0.122052244535842,-0.000343778333148659,0
0.930000000000001,0.796526489328207,-11.2638011318383,-0.134631676246025,-0.000382767686128442,1
0.935000000000001,0.741957463562275,-10.5696030654845,-0.15412621850472,-0.000403671049745887,0
0.940000000000001,0.690773838065227,-9.90961250265053,-0.178813944815751,-0.00040744010825866,0
0.945000000000001,0.642804214662437,-9.28393456976235,-0.207111051111083,-0.000396687240631903,1
0.950000000000001,0.597877299283713,-8.69242735594341,-0.237637591575891,-0.000374815056335348,0
0.955000000000001,0.555823151278516,-8.13469632442278,-0.26924840386947,-0.000345341933901605,1
0.960000000000001,0.516474414416637,-7.61010724034971,-0.301035643845727,-0.000311462835451103,0
0.965000000000001,0.47966744607977,-7.11781386637601,-0.332311667463075,-0.000275819748182428,0
0.970000000000001,0.44524328448474,-6.65679490775474,-0.362580660469556,-0,1
0.975000000000001,0.413030433667454,-6.23312010763242,-0.382282017816463,-0.0182019457452341,0
0.980000000000001,0.38425073089411,-5.28118854111668,-1.1019469823767,-0,1
0.985000000000001,0.358791341247584,-4.90651550033623,-1.12266039986499,-0.0197361859545727,0
0.990000000000001,0.336689019226741,-3.93607917669931,-1.90520155563849,-0,0
0.995000000000001,0.317860230722844,-3.59847038892544,-1.92583887884693,-0,1
1,0.30067516016773,-3.27835564696467,-1.94565707276838,-0.0108708240037579,0
1.005,0.285919254350197,-2.62563278806413,-2.38638232796293,-0,1
1.01,0.273530843454921,-2.33179787591292,-2.40512711477318,0.00352858367236015,0
1.015,0.262296902364936,-2.16388558379783,-2.28607282878869,0,0
1.02,0.252157544879841,-1.89356249105746,-2.30337387884322,0,1
1.025,0.243345314770818,-1.63281798852293,-2.32008542932534,0.0148073238696682,0
1.03,0.234609289248705,-1.86377511332854,-1.75986541965139,0,1
1.035,0.225894274239947,-1.62369798429631,-1.77517322129799,0.0233898695883485,0
1.04,0.216444535745592,-2.15862758100521,-0.878504652608173,0,0
1.045,0.206200695491164,-1.94062462131836,-0.89220413895962,0,1
1.05,0.197021999718726,-1.73239676512303,-0.905349657910603,0.0225508743414898,0
1.055,0.187003866646841,-2.27703964685288,-0.0378063250983111,0,1
1.06,0.176090323101167,-2.09021458257061,-0.0493665027853824,0.017381735876577,0
1.065,0.164645386115497,-2.48992877025135,0.61881182071803,0,0
1.07,0.152609906262969,-2.32630281252161,0.608876269212935,0,1
1.075,0.141362608197194,-2.17452840530613,0.599593215566287,0.00829159810490865,0
1.08,0.130155264759313,-2.3103745372923,0.915362401356529,0,1
1.085,0.118930758881027,-2.18134899738737,0.907504181217907,-0.000611972515046973,0
1.09,0.108374248468528,-2.04306367283009,0.876325612115378,-0,0
1.095,0.0984313517283517,-1.93580381888838,0.869714297452417,-0,1
1.1,0.088999555774882,-1.83853824453349,0.863693216603299,-0.00608268081380906,0
1.105,0.08054069617572,-1.54644991591701,0.619898041557161,-0,1
1.11,0.0730108244138093,-1.4667967599632,0.614886680078704,-0.00840656565946829,0
1.115,0.0665668609930713,-1.11188408730228,0.280847829258211,-0,1
1.12,0.0611753612389524,-1.04564580029969,0.276623301153875,-0.00664438719759525,1
1.125,0.0566605710139678,-0.761037727293417,0.0122694942484884,-0.000961322221962581,1
1.13,0.053080081606672,-0.671774498250139,-0.0290703904735698,0.00078708243690659,1
1.135,0.0497898085258324,-0.644904150193695,-0.00164555212602217,0.000968276432560811,0
1.14,0.0466101965391282,-0.627491135772627,0.0330992593531701,0,0
1.145,0.043591032600373,-0.580696097825857,0.030090116231638,0,1
1.15,0.0407982165556104,-0.536912976741146,0.0272734286841906,0.0009693587808686,0
1.155,0.038135575982053,-0.528604275818856,0.0626443306551163,0,1
1.16,0.03558929176138,-0.490349623238999,0.0601825016434835,0.000856069885637404,1
1.165,0.0331556832693547,-0.483515049587685,0.091452595529729,0.00026489996654195,0
1.17,0.0307997881829734,-0.459250525090327,0.099703122035162,0,1
1.175,0.0285815362759387,-0.428433901613769,0.0977190918762456,0.000101533999498708,0
1.18,0.0265031822530371,-0.403267246791466,0.0998594829154648,0,1
1.185,0.0245539353186292,-0.376768733061068,0.0981527656805491,-4.00850873238898e-05,0
1.19,0.0227356147753166,-0.350874057424902,0.0949997979099178,-0,0
1.195,0.0210387782732001,-0.328154128556059,0.0935359379090362,-0,1
1.2,0.0194512335722309,-0.307138444090765,0.0921816976569105,-0.000131437850916623,0
1.205,0.0179758201983049,-0.283282191389637,0.085775502479883,-0,1
1.21,0.016604875044359,-0.265333106787877,0.0846185760869252,-0.000205018458190444,0
1.215,0.0153374834784179,-0.241842825618171,0.0755100798528667,-0,0
1.22,0.014167062273026,-0.226528206955553,0.0745227531734149,-0,1
1.225,0.013070240579271,-0.212390289363303,0.0736112282705133,-0.000195886644650781,0
1.23,0.0120578427133089,-0.192744058608031,0.065088512980526,-0,1
1.235,0.0111246095275359,-0.180710730176837,0.0643125700907962,-0.000186197398277024,0
1.24,0.0102648761395148,-0.163331414229191,0.0562948079340375,-0,0
1.245,0.00947417630218181,-0.15308537102131,0.0556340449830305,-0,1
1.25,0.00873269719999535,-0.143634602934113,0.0550245506178674,-0.000136261280899315,0
1.255,0.00804808031410442,-0.130330641205646,0.0491192144349905,-0,1
1.26,0.00741676899223383,-0.122303155113992,0.0486014758993883,-0.000113610781013749,0
1.265,0.00683357303468651,-0.111076166705869,0.0436690630370156,-0,0
1.26999999999999,0.00629546263770471,-0.104261129648911,0.0432295014671987,-0,1
1.27499999999999,0.0057900591335945,-0.0979877490677626,0.0428248704027022,-8.3964026147361e-05,0
1.27999999999999,0.00532181929730476,-0.0893892298061186,0.0391601179019789,-0,1
1.28499999999999,0.00488831050551059,-0.0840893208045166,0.0388182652310325,-8.7621734436739e-05,0
1.28999999999999,0.00448758913104406,-0.0762685876363159,0.0350681826012582,-0,0
