t,x1,x2,x3,u1,u2,sequence
0.035,-0.00115385595164126,0.00406203228073245,-0.00994945143037445,1.29247798367883e-05,-0.000506602427028147,1
0.036,-0.000921094325237737,0.00324267465156551,-0.00794250769635733,1.03168040460556e-05,-0.000404414248765735,1
0.037,-0.000735287345811733,0.00258858720373778,-0.00634038818236346,8.23515002379893e-06,-0.000322838388004954,1
0.038,-0.000586963051309798,0.00206643516318299,-0.00506143657783474,6.57358822111055e-06,-0.000257717294502954,1
0.039,-0.000468559958452881,0.00164960658831863,-0.00404046676362531,5.24733289078117e-06,-0.00020573192343754,1
0.04,-0.000374041846763214,0.0013168570665187,-0.00322544101163058,4.18870211479009e-06,-0.00016423267638792,1
0.041,-0.000298590263499242,0.00105122723942456,-0.00257481796227645,3.34367483094622e-06,-0.00013110439440295,1
0.042,-0.000238358903458199,0.000839178493493438,-0.00205543547778479,2.66913922929321e-06,-0.000104658561450034,1
0.043,-0.000190277451130336,0.000669902982170175,-0.00164082053231246,2.13069016633783e-06,-8.35472471834534e-05,1
0.044,-0.000151894988637239,0.00053477284214557,-0.00130983999810075,1.70086887544891e-06,-6.66944092836552e-05,1
0.045,-0.000121255017567441,0.000426900507900083,-0.00104562356034194,1.35775867916977e-06,-5.32410533261731e-05,1
0.046,-9.67957126541926e-05,0.000340787701540537,-0.000834703873457946,1.08386546216238e-06,-4.25014538142318e-05,1
0.047,-7.72703053687738e-05,0.000272045211195271,-0.000666330146482116,8.65224921680411e-07,-3.39282049099447e-05,1
0.048,-6.16835295124005e-05,0.000217169184770632,-0.000531920181101406,6.9069027133555e-07,-2.7084320109981e-05,1
0.049,-4.9240886743232e-05,0.000173362544168524,-0.000424622938179043,5.51363715987613e-07,-2.16209593942905e-05,1
0.05,-3.93081462409978e-05,0.000138392421094196,-0.000338969339205666,4.40142632734931e-07,-1.72596489551743e-05,1
0.051,-3.13790145230246e-05,0.000110476349261126,-0.000270593505119681,3.51357329008336e-07,-1.3778087391207e-05,1
0.052,-2.50493273994146e-05,8.81914126554705e-05,-0.000216010224659628,2.80481912393472e-07,-1.09988149549434e-05,1
0.053,-1.99964482602439e-05,7.04017194357323e-05,-0.000172437310233888,2.2390351692065e-07,-8.78016834647729e-06,1
0.054,-1.59628222981029e-05,5.62005050844955e-05,-0.000137653787058542,1.78738101700812e-07,-7.0090600356434e-06,1
0.055,-1.27428482282914e-05,4.48639140263383e-05,-0.000109886687603616,1.42683417560592e-07,-5.59521408923782e-06,1
0.056,-1.01723982617204e-05,3.58141040939848e-05,-8.77206813058294e-05,1.13901638823042e-07,-4.46656471256532e-06,1
0.057,-8.12045211479984e-06,2.85897933406526e-05,-7.0025933366587e-05,9.0925673841722e-08,-3.56558297307108e-06,1
0.058,-6.48241860970875e-06,2.28227479920016e-05,-5.59005155674718e-05,7.2584376756908e-08,-2.84634447992123e-06,1
0.059,-5.17480444130145e-06,1.82190131325225e-05,-4.46244337449845e-05,5.79428470569195e-08,-2.27218855836891e-06,1
0.06,-4.1309583572322e-06,1.45439294514355e-05,-3.56229286673829e-05,4.62547729084981e-08,-1.81384960573597e-06,1
0.061,-3.29767381708008e-06,1.16101723459929e-05,-2.84371797242932e-05,3.69243883913637e-08,-1.44796538287818e-06,1
0.062,-2.63247695751395e-06,9.2682037284325e-06,-2.27009181646627e-05,2.9476105059229e-08,-1.15588620747104e-06,1
0.063,-2.10146162383225e-06,7.39864985786763e-06,-1.81217578322492e-05,2.35302696092212e-08,-9.22724352522294e-07,1
0.064,-1.67756111426872e-06,5.90621668804166e-06,-1.44662918027137e-05,1.87838118166809e-08,-7.36595196900059e-07,1
0.065,-1.33916854404213e-06,4.71483258965653e-06,-1.15481952781808e-05,1.49947962237377e-08,-5.88011448401702e-07,1
0.066,-1.06903550619979e-06,3.76377086608909e-06,-9.21872832747405e-06,1.19700900885586e-08,-4.69399562134104e-07,1
0.067,-8.53392891777012e-07,3.00455442224009e-06,-7.35915438329494e-06,9.55551896626605e-09,-3.74713705400584e-07,1
0.068,-6.8124905577725e-07,2.398484813407e-06,-5.87468805621593e-06,7.62800810661982e-09,-2.99127592349278e-07,1
0.069,-5.43829555190152e-07,1.91466972642534e-06,-4.68966377668683e-06,6.0893090843221e-09,-2.38788480756876e-07,1
0.07,-4.34129901489969e-07,1.52844835101715e-06,-3.74367900355122e-06,4.8609918865807e-09,-1.9062079180684e-07,1
0.071,-3.46558530628678e-07,1.22013438025733e-06,-2.98851541261144e-06,3.88044718931188e-09,-1.52169343072698e-07,1
0.0720000000000001,-2.76651792094284e-07,9.74012569048775e-07,-2.38568113355397e-06,3.09769504701271e-09,-1.21474204057412e-07,1
0.0730000000000001,-2.20846429547408e-07,7.77537703700145e-07,-1.90444875929842e-06,2.4728373272037e-09,-9.69707954868715e-08,1
0.0740000000000001,-1.76297955996722e-07,6.20695152881722e-07,-1.52028912209539e-06,1.97402403409754e-09,-7.74101402666191e-08,1
0.0750000000000001,-1.40735665797924e-07,4.95490406272424e-07,-1.21362100352636e-06,1.5758298605832e-09,-6.17952011710459e-08,1
0.0760000000000001,-1.12346893202084e-07,3.955415819038e-07,-9.68813049190748e-07,1.25795821804471e-09,-4.93300602992269e-08,1
0.0770000000000001,-8.96846179248015e-08,3.15754131675087e-07,-7.73387014123643e-07,1.00420668588057e-09,-3.93793498958115e-08,1
0.0780000000000001,-7.15937082437876e-08,2.52061164278162e-07,-6.17381727125063e-07,8.01641147744651e-10,-3.14358666631075e-08,1
0.0790000000000001,-5.71520421177823e-08,2.01216149390299e-07,-4.92845354272269e-07,6.39936518735324e-10,-2.50947188155772e-08,1
0.0800000000000001,-4.56235051765618e-08,1.60627436946023e-07,-3.93430081494887e-07,5.10850459234714e-10,-2.00326881119098e-08,1
