t,x1,x2,x3,u1,u2,sequence
0.034,-0.000394384555649798,0.000333193320963365,-0.000568433949135338,7.5602797817525e-06,-3.24464797773435e-05,1
0.035,-0.000284908490913077,0.000240763456610546,-0.000410849288564356,5.45826199884432e-06,-2.3440678125506e-05,1
0.036,-0.000205853717594745,0.000174051753466902,-0.000296957940706722,3.93938611392957e-06,-1.69423128763565e-05,1
0.037,-0.000148775975227145,0.000125830578159713,-0.00021462245236687,2.84549029960758e-06,-1.22479282411704e-05,1
0.038,-0.000107539672048291,9.09487270336063e-05,-0.00015510376636791,2.05716384476265e-06,-8.85336352085326e-06,1
0.039,-7.77294289816695e-05,6.57223518322129e-05,-0.000112088392508844,1.48762832247712e-06,-6.39830625757269e-06,1
0.04,-5.61758469208249e-05,4.74906004501604e-05,-8.10048269658985e-05,1.07544939753339e-06,-4.62352038532821e-06,1
0.041,-4.05957574364084e-05,3.43193585072396e-05,-5.85432037020907e-05,7.77157006804972e-07,-3.34111672424042e-06,1
0.042,-2.93369353279246e-05,2.48036012397236e-05,-4.231047874214e-05,5.61506790265802e-07,-2.41461996355399e-06,1
0.043,-2.12017141193929e-05,1.79269209234238e-05,-3.05784378868337e-05,4.05736730636884e-07,-1.74514549723066e-06,1
0.044,-1.53230092430057e-05,1.29563786197553e-05,-2.20991580061995e-05,2.93232968049216e-07,-1.26128608877937e-06,1
0.045,-1.10743517297006e-05,9.3635703930727e-06,-1.59710228225842e-05,2.11944734393747e-07,-9.11548211781184e-07,1
0.046,-8.00356713782058e-06,6.76690485768103e-06,-1.15422618813395e-05,1.53186558828139e-07,-6.58768405023782e-07,1
0.047,-5.78416424496985e-06,4.89038095694536e-06,-8.34165343544195e-06,1.10709356533458e-07,-4.76084861726383e-07,1
0.048,-4.18018945434383e-06,3.53430621354365e-06,-6.02858253014597e-06,8.0006626606436e-08,-3.44066452734539e-07,1
0.049,-3.02102813481913e-06,2.55429323952557e-06,-4.35690462847711e-06,5.78188262521949e-08,-2.4866034495517e-07,1
0.05,-2.18332042763203e-06,1.84602001369452e-06,-3.14876039552787e-06,4.17856343503767e-08,-1.79710004907902e-07,1
0.051,-1.57790713808637e-06,1.33413035238951e-06,-2.27562253611445e-06,3.01992322025794e-08,-1.29877996370934e-07,1
0.052,-1.14036573235544e-06,9.64178564844964e-07,-1.64460191972695e-06,2.18255765320335e-08,-9.38633348547726e-08,1
0.053,-8.24147764675882e-07,6.96813696011805e-07,-1.18856211052397e-06,1.57735603958937e-08,-6.78352341382988e-08,1
0.054,-5.95614462775294e-07,5.03590405714131e-07,-8.5898076097328e-07,1.13995653106436e-08,-4.90247642509612e-08,1
